t,OD600,ste
0,0.010771,0.00057735
0.0088889,0.010771,0.00057735
0.34222,0.012604,0.00033333
0.67556,0.01476,0.00057735
1.0089,0.021323,0.00066667
1.3422,0.033635,0.0011547
1.6756,0.048823,0.00088192
2.0089,0.066052,0.00033333
2.3422,0.084656,0.0015275
2.6756,0.10341,0.0017638
3.0089,0.12196,0.0024037
3.3422,0.14192,0.0024037
3.6756,0.16475,0.0026458
4.0089,0.19203,0.0024037
4.3422,0.22035,0.0043333
4.6756,0.25103,0.0043333
5.0089,0.28544,0.0066416
5.3422,0.32982,0.0078102
5.6756,0.38403,0.0093333
6.0089,0.43699,0.0072188
6.3422,0.45985,0.0045092
6.6756,0.48143,0.0064893
7.0089,0.51414,0.010414
7.3422,0.56542,0.01761
7.6756,0.63308,0.025182
8.0089,0.70792,0.029263
8.3422,0.7739,0.028308
8.6756,0.82257,0.025706
9.0089,0.85835,0.022408
9.3422,0.89311,0.022578
9.6756,0.94064,0.013119
10.009,1.0112,0.007796
10.342,1.0637,0.017704
10.676,1.0881,0.01222
11.009,1.1147,0.0051747
11.342,1.1398,0.018985
11.676,1.1604,0.025563
12.009,1.1754,0.025706
12.342,1.1876,0.024781
12.676,1.1971,0.023259
13.009,1.2049,0.022482
13.342,1.2112,0.021733
13.676,1.2169,0.021942
14.009,1.2236,0.021528
14.342,1.2306,0.020931
14.676,1.2377,0.019333
15.009,1.2431,0.017704
15.342,1.2481,0.017188
15.676,1.2565,0.01701
16.009,1.2589,0.015431
16.342,1.2672,0.014193
16.676,1.2573,0.023183
17.009,1.2476,0.025106
17.342,1.2367,0.022068
17.676,1.2275,0.023674
18.009,1.2222,0.020851
