t,OD600,ste
0,0.013104,0.00066667
0.0088889,0.013104,0.00066667
0.34222,0.014271,0.00066667
0.67556,0.015094,0.00066667
1.0089,0.020323,0.00033333
1.3422,0.028969,0.00066667
1.6756,0.041823,0.0021858
2.0089,0.059385,0.00033333
2.3422,0.072323,0.0013333
2.6756,0.088406,0.0018559
3.0089,0.10496,0.0021858
3.3422,0.11992,0.0017638
3.6756,0.13708,0.0023333
4.0089,0.1567,0.0017321
4.3422,0.17735,0.002848
4.6756,0.19936,0.0033333
5.0089,0.2271,0.0038442
5.3422,0.25749,0.0018559
5.6756,0.29036,0.0023333
6.0089,0.33166,0.0065574
6.3422,0.37585,0.0060277
6.6756,0.41076,0.0035119
7.0089,0.43514,0.0042557
7.3422,0.45542,0.0049103
7.6756,0.48042,0.0058405
8.0089,0.51192,0.0061101
8.3422,0.55356,0.011465
8.6756,0.59791,0.010599
9.0089,0.63935,0.011392
9.3422,0.66678,0.010066
9.6756,0.68864,0.008838
10.009,0.70754,0.0060093
10.342,0.7487,0.0046667
10.676,0.78772,0.0043333
11.009,0.80734,0.0052387
11.342,0.82845,0.0062272
11.676,0.8457,0.0052068
12.009,0.86569,0.0051747
12.342,0.88061,0.0037118
12.676,0.89072,0.0046308
13.009,0.89891,0.0049103
13.342,0.90489,0.0056075
13.676,0.90991,0.0061734
14.009,0.91792,0.007356
14.342,0.92593,0.0074237
14.676,0.9297,0.0078599
15.009,0.93974,0.0091712
15.342,0.9431,0.008838
15.676,0.94846,0.0095044
16.009,0.95692,0.008838
16.342,0.96025,0.008413
16.676,0.96527,0.0088757
17.009,0.96531,0.0094045
17.342,0.95402,0.015836
17.676,0.93321,0.015496
18.009,0.91949,0.016974
