t,OD600,ste
0,0.0295116,0.00062153
0.0088889,0.0295116,0.00062153
0.34222,0.0288634,0.00063588
0.67556,0.0298345,0.00068962
1.0089,0.032878,0.00088246
1.3422,0.038747,0.0014533
1.6756,0.050082,0.0022235
2.0089,0.065015,0.0027908
2.3422,0.081508,0.0034001
2.6756,0.100628,0.0040359
3.0089,0.12474,0.0048973
3.3422,0.1581,0.00612
3.6756,0.20238,0.0079181
4.0089,0.25885,0.010472
4.3422,0.32495,0.013281
4.6756,0.37377,0.014014
5.0089,0.41414,0.014372
5.3422,0.46579,0.015537
5.6756,0.52999,0.017017
6.0089,0.5924,0.017875
6.3422,0.64537,0.018696
6.6756,0.69572,0.020557
7.0089,0.74214,0.021464
7.3422,0.7796,0.020351
7.6756,0.80734,0.017453
8.0089,0.82725,0.014534
8.3422,0.84104,0.012874
8.6756,0.85405,0.012285
9.0089,0.86369,0.012108
9.3422,0.87078,0.012108
9.6756,0.87982,0.012385
10.009,0.89025,0.013557
10.342,0.90292,0.015928
10.676,0.91227,0.018407
11.009,0.92171,0.020701
11.342,0.93323,0.023565
11.676,0.94136,0.026014
12.009,0.94672,0.027202
12.342,0.95065,0.02813
12.676,0.95364,0.028749
13.009,0.95665,0.02926
13.342,0.96037,0.029713
13.676,0.96154,0.030057
14.009,0.96236,0.030467
14.342,0.96182,0.03093
14.676,0.96166,0.031408
15.009,0.9603,0.031817
15.342,0.95918,0.032346
15.676,0.95779,0.032935
16.009,0.95529,0.033564
16.342,0.95218,0.034164
16.676,0.94816,0.034498
17.009,0.94202,0.034382
17.342,0.93702,0.034695
17.676,0.93191,0.035059
18.009,0.92571,0.035581
