t,OD600,ste
0,0.010646,0.00039154
0.0088889,0.010646,0.00039154
0.34222,0.011688,0.00035227
0.67556,0.013094,0.00040677
1.0089,0.018531,0.00059379
1.3422,0.029469,0.00078636
1.6756,0.045948,0.0007708
2.0089,0.063052,0.0011682
2.3422,0.08124,0.0013961
2.6756,0.096406,0.0018879
3.0089,0.11354,0.0025544
3.3422,0.13417,0.0027923
3.6756,0.15608,0.0038191
4.0089,0.18291,0.004368
4.3422,0.21352,0.0050201
4.6756,0.2452,0.00614
5.0089,0.28306,0.0075859
5.3422,0.32586,0.0082421
5.6756,0.37211,0.0076103
6.0089,0.42441,0.0060885
6.3422,0.46831,0.0039315
6.6756,0.49789,0.0048268
7.0089,0.5318,0.007774
7.3422,0.58467,0.010079
7.6756,0.64983,0.01142
8.0089,0.71717,0.010881
8.3422,0.77944,0.0097744
8.6756,0.8322,0.0093475
9.0089,0.88248,0.011465
9.3422,0.91395,0.012504
9.6756,0.94693,0.011034
10.009,0.98008,0.011644
10.342,1.0087,0.010854
10.676,1.0295,0.010258
11.009,1.0509,0.0089052
11.342,1.0796,0.0072801
11.676,1.1165,0.0060908
12.009,1.1491,0.0070335
12.342,1.1684,0.008242
12.676,1.1807,0.0088971
13.009,1.1902,0.0095002
13.342,1.1969,0.010303
13.676,1.2036,0.011033
14.009,1.2095,0.011436
14.342,1.2151,0.011827
14.676,1.2205,0.012028
15.009,1.2252,0.012742
15.342,1.2272,0.014246
15.676,1.2288,0.016363
16.009,1.2263,0.01825
16.342,1.2247,0.020461
16.676,1.2188,0.022153
17.009,1.2141,0.024274
17.342,1.2018,0.025473
17.676,1.1888,0.02714
18.009,1.1779,0.029459
